partner,group,value
Nord,estimation - m. 'résumé',298599.8861696073
Nord,estimation - m. 'résumé' (hyp sans lest),371346.49260522716
Nord,importations de Dunkerque hors France,3877725.0
Angleterre,estimation - m. 'résumé',1760742.0257414663
Angleterre,estimation - m. 'résumé' (hyp sans lest),3208921.7416642383
Angleterre,importations de Dunkerque hors France,14937716.0
Espagne,estimation - m. 'résumé',749876.3223032039
Espagne,estimation - m. 'résumé' (hyp sans lest),883128.0480315014
Espagne,importations de Dunkerque hors France,1767338.0
Hollande,estimation - m. 'résumé',2407100.6725138724
Hollande,estimation - m. 'résumé' (hyp sans lest),2546997.646040207
Hollande,importations de Dunkerque hors France,7196299.0
Portugal,estimation - m. 'résumé',271112.158206611
Portugal,estimation - m. 'résumé' (hyp sans lest),298378.87954741885
Portugal,importations de Dunkerque hors France,53067.0
États-Unis d'Amérique,estimation - m. 'résumé',32226.213461452113
États-Unis d'Amérique,estimation - m. 'résumé' (hyp sans lest),43864.44199975553
États-Unis d'Amérique,importations de Dunkerque hors France,1479188.0
Flandre et autres états de l'Empereur,estimation - m. 'résumé',3182614.855973189
Flandre et autres états de l'Empereur,estimation - m. 'résumé' (hyp sans lest),3322564.7127008964
Flandre et autres états de l'Empereur,importations de Dunkerque hors France,4022285.0
Italie,importations de Dunkerque hors France,928167.0
